Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2005","2005","millions","309.826227","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2006","2006","millions","339.175245","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2007","2007","millions","333.780282","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2008","2008","millions","483.510542","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2009","2009","millions","581.995448","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2010","2010","millions","426.914648","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","729.970306","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","674.495727","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","567.810367","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","602.587098","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","449.471147","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","462.140553","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","505.535947","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","566.146607","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","609.945657","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2020","2020","millions","942.386197","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","44.671138","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","58.962764","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","79.947055","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","83.974818","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2005","2005","millions","78.209459","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2006","2006","millions","111.586744","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2007","2007","millions","172.013548","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2008","2008","millions","197.220338","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2009","2009","millions","136.765258","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2010","2010","millions","123.774983","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","148.466282","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","150.971304","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","175.925625","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","136.653575","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","114.566598","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","124.331452","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","142.000924","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","144.312641","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","233","Estonia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","134.448889","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","246","Finland","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","1398.645202","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","246","Finland","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","1520.86722","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","246","Finland","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","1865.616543","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","246","Finland","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","2043.793808","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
